occlusion_window_hours,n_patients,n_septic_patients,mean_abs_prob_delta_all,mean_abs_prob_delta_septic,auroc_at_reference_baseline,auroc_at_reference_occluded,septic_alarm_rate_at_reference_baseline,septic_alarm_rate_at_reference_occluded
1,6051,429,0.04076201083864127,0.055310014583222517,0.7618173359902282,0.7536119755970343,0.42424242424242425,0.38927738927738925
2,6051,429,0.046407078831915104,0.06628934533654393,0.7618173359902282,0.7505035578674853,0.42424242424242425,0.3706293706293706
3,6051,429,0.051291888223573445,0.07267386683356233,0.7618173359902282,0.7476074263694327,0.42424242424242425,0.3706293706293706
6,6051,429,0.06733621146952863,0.09463436658426876,0.7618173359902282,0.7379069406817539,0.42424242424242425,0.3333333333333333
12,6051,429,0.09244376217625964,0.1304306361850325,0.7618173359902282,0.7185812231169756,0.42424242424242425,0.3006993006993007
24,6051,429,0.12183274432199195,0.15798121867896794,0.7618173359902282,0.7025699901900544,0.42424242424242425,0.28205128205128205
48,6051,429,0.16388057169897402,0.17953300843393052,0.7618173359902282,0.7290350761535392,0.42424242424242425,0.2773892773892774
