model,coverage,n_rows,n_patients,prevalence,brier_score,brier_noskill,brier_skill_score,calib_intercept,calib_slope
baseline,"OOF, full population",1552210,40336,0.01798467990800214,0.16339916045483288,0.017661231196608843,-8.251855583330304,-3.773409160193269,0.9489938355847408
engineered,"OOF, full population",1552210,40336,0.01798467990800214,0.13938303233923355,0.017661231196608843,-6.892033731260858,-3.6613444231383556,1.0060455412514808
tabnet,"OOF, full population",1552210,40336,0.01798467990800214,0.1722925383583372,0.017661231196608843,-8.755409259996512,-3.8442197727945824,0.8204789438605055
grud,test-set only,230220,6051,0.017696116757883764,0.197704275277839,0.01738296420957511,-10.373450056862968,-3.965756214150793,1.1863678130501818
transformer,test-set only,230220,6051,0.017696116757883764,0.18785108934757758,0.01738296420957511,-9.80662003803143,-4.06112293051263,0.8198592589350262
