direction,train_hospital,test_hospital,n_train_patients,n_test_patients,auroc,auprc,best_threshold,normalized_utility,n_features,in_dist_auroc,in_dist_auprc,in_dist_utility,auroc_drop_vs_in_dist
train_h1_test_h2,1,2,20336,20000,0.7380736104233467,0.05453558039860279,0.5408333333333333,0.1931379342060829,289,0.7918489251770355,0.0820552674693343,0.3202890801727466,0.0537753147536888
train_h2_test_h1,2,1,20000,20336,0.7225878758304783,0.060855923496677566,0.45916666666666667,0.24388944465086548,289,0.7918489251770355,0.0820552674693343,0.3202890801727466,0.06926104934655719
