model,protocol,raw_threshold_locked_on_fit,eval_utility_at_raw_threshold,calibrated_threshold_locked_on_fit,eval_utility_at_calibrated_threshold
baseline,oof_patient_split_70_30,0.5408333333333333,0.2432444758984004,0.050833333333333335,0.1681540457655089
engineered,oof_patient_split_70_30,0.5,0.3199524258866073,0.050833333333333335,0.24786978060863274
tabnet,oof_patient_split_70_30,0.5816666666666667,0.2641330502476962,0.050833333333333335,0.18572540693559453
grud,sequence_val_then_test,0.6225,0.237414976990206,0.050833333333333335,0.19459977515912727
transformer,sequence_val_then_test,0.7041666666666666,0.35974943991977026,0.050833333333333335,0.3037179621976188
