feature,tabnet_importance
Lactate_mean_12h,0.0008288770507653082
Temp_std_6h,0.00082400967802388
HR_std_3h,0.0008038401926587094
HR_ffill,0.0007961860646692384
Platelets_max_3h,0.0007953174929683787
partial_qsofa_score,0.00079467169431765
Potassium_mean_6h,0.0007773831645042689
DBP_std_3h,0.0007649698828409954
Creatinine_max_6h,0.0007486663224151313
Resp_max_3h,0.0007295896266581124
BUN_std_6h,0.0007188788924135886
Potassium_std_3h,0.0007178247028513565
WBC_velocity_1h,0.0007128797647523346
Platelets_hours_since_last,0.000703601712564367
WBC_slope_6h,0.0007017523452739234
Glucose_max_3h,0.00069487157747619
O2Sat_min_6h,0.0006910568021596185
HR_slope_6h,0.0006460979233858363
shock_index,0.0006387678852635625
BUN_std_3h,0.0006334057027234577
Lactate_slope_12h,0.0006292336816338702
Lactate_std_12h,0.0006257308276232693
BUN_max_12h,0.0006255894130506787
HR_min_6h,0.0006152714099424138
Glucose_min_12h,0.0006032022498805838
Lactate_slope_6h,0.0005831929832991348
Creatinine_slope_3h,0.0005831858798287174
Creatinine_ffill,0.0005809946470365501
O2Sat_std_12h,0.0005759715556984664
Platelets_slope_12h,0.0005612457799542333
SBP_std_6h,0.0005527420763307884
Potassium_slope_12h,0.000549191067855872
Lactate_ffill,0.0005463115333015521
SBP_max_6h,0.0005210098890792828
SBP_slope_3h,0.000514397753631171
Potassium_mean_3h,0.0005112242582870904
pulse_pressure,0.000487306738181832
Resp_mean_3h,0.00048587526147418137
Bilirubin_total_std_12h,0.0004755281087291401
Bilirubin_total_min_6h,0.00046605643412452947
Potassium_mean_12h,0.0004655839528647689
MAP_hours_since_last,0.000452658704269144
SBP_slope_12h,0.00045250748689364747
O2Sat_min_12h,0.0004262540238518267
Potassium_velocity_1h,0.0004221658089530795
Bilirubin_total_ffill,0.00040167363818316025
Resp_std_12h,0.00039701454497088087
O2Sat_max_12h,0.00039097456459064137
Bilirubin_total_std_6h,0.0003908749985522291
O2Sat_std_6h,0.00038780460905852074
Potassium_std_6h,0.00038533190778164644
Glucose_std_3h,0.00038150187999349834
Temp_velocity_1h,0.00037688954307036205
HR_missing,0.00036936403259467106
BUN_velocity_1h,0.00036255868115534444
DBP_hours_since_last,0.0003611116597248607
SBP_slope_6h,0.0003589947626358517
DBP_mean_6h,0.0003564558390470383
Glucose_mean_3h,0.0003537286290430914
Lactate_std_6h,0.0003427457102141239
DBP_missing,0.00033828704350008927
SBP_hours_since_last,0.00033509637452300864
Platelets_min_3h,0.00032437451928711244
BUN_missing,0.00031709141003691315
Bilirubin_total_slope_3h,0.00031575730761348157
WBC_max_6h,0.00031504152609796614
SBP_std_3h,0.0003120988411469621
Creatinine_max_3h,0.00031055526420669885
Potassium_min_3h,0.0002945439746452534
SBP_missing,0.0002931326329055339
