feature,mean_abs_shap
O2Sat_mean_6h,0.0030940946
MAP_slope_6h,0.0030361693
Potassium_min_3h,0.0029810753
SBP_mean_3h,0.0029229992
BUN_std_12h,0.0028867684
Resp_ffill,0.002843997
DBP_mean_3h,0.002814516
Bilirubin_total_mean_3h,0.002706272
SBP_ffill,0.002662059
DBP_missing,0.0025860118
Bilirubin_total_max_3h,0.0025180453
Creatinine_slope_12h,0.0022462443
Lactate_slope_6h,0.0022311208
BUN_mean_6h,0.00220658
MAP_missing,0.002195111
Potassium_missing,0.0021768825
DBP_ffill,0.0021709623
Glucose_slope_6h,0.0020907002
Bilirubin_total_max_6h,0.0020579996
Glucose_mean_3h,0.0020234943
Lactate_min_3h,0.0019151331
Potassium_std_6h,0.0018991419
Bilirubin_total_mean_6h,0.0018702763
Resp_hours_since_last,0.0018625908
SBP_velocity_1h,0.0017866446
MAP_ffill,0.0017849688
Temp_mean_3h,0.0017466026
MAP_hours_since_last,0.0016480582
Creatinine_std_12h,0.0015595249
SBP_slope_6h,0.0015556329
HR_std_3h,0.0013047167
MAP_slope_3h,0.0012818302
Resp_slope_6h,0.001258945
DBP_std_3h,0.0012352753
HR_velocity_1h,0.0012336896
DBP_velocity_1h,0.0012039214
Lactate_std_6h,0.0012019636
WBC_std_6h,0.0011628291
Lactate_mean_3h,0.0011611581
SBP_slope_3h,0.0011579798
Bilirubin_total_min_3h,0.0010717511
Lactate_mean_6h,0.0010488754
SBP_std_3h,0.001046266
Lactate_max_3h,0.0009783077
O2Sat_slope_6h,0.0008980209
O2Sat_slope_3h,0.0008788978
Resp_slope_3h,0.00084408576
BUN_slope_6h,0.000826783
Platelets_std_6h,0.00075269956
WBC_slope_3h,0.0006874034
Creatinine_std_6h,0.0006156659
BUN_std_6h,0.0005769137
Lactate_std_3h,0.0005530478
Glucose_slope_3h,0.0005286168
Creatinine_slope_3h,0.0004489648
O2Sat_missing,0.00036781596
HR_missing,0.0003571165
Platelets_slope_6h,0.00032837273
Potassium_std_3h,0.00029611433
Creatinine_std_3h,0.00028680306
Resp_velocity_1h,0.00017392616
MAP_velocity_1h,0.00013855506
Bilirubin_total_slope_3h,0.00013225785
SBP_missing,0.00012948237
Platelets_std_3h,0.00010607617
Lactate_slope_3h,9.225482e-05
Glucose_std_3h,6.89977e-05
O2Sat_velocity_1h,5.559216e-05
Resp_missing,3.2085853e-05
Glucose_velocity_1h,2.887351e-05
Potassium_slope_6h,2.3803323e-05
Potassium_velocity_1h,1.8055958e-05
BUN_std_3h,1.760481e-05
BUN_slope_3h,1.6382877e-05
Bilirubin_total_std_3h,1.5133229e-05
Platelets_velocity_1h,1.2287902e-05
BUN_velocity_1h,1.0453785e-05
Creatinine_velocity_1h,8.023784e-06
Potassium_slope_3h,7.214378e-06
Bilirubin_total_std_6h,6.1427227e-06
Bilirubin_total_velocity_1h,4.877599e-06
Lactate_velocity_1h,0.0
WBC_velocity_1h,0.0
WBC_std_3h,0.0
Glucose_missing,0.0
BUN_missing,0.0
Platelets_missing,0.0
Platelets_slope_3h,0.0
Creatinine_missing,0.0
Bilirubin_total_missing,0.0
WBC_missing,0.0
Lactate_missing,0.0
partial_qsofa_score,0.0
